[ MuEvent ] connection successful !
[ MuOnline ] connection successful !
[ EventServer ] created on port [ 44456 ]
08:58:28 [SUMMON PET] Data request (DatGa)
09:00:33 [SUMMON PET] Data request (DatGa)
Connection Closed, dwIoSize == 0 (Index:1)
[  ][ 127.0.0.1:0 ] GameServer Close
09:43:20 [SUMMON PET] Data request (DatGa)
10:19:26 [SUMMON PET] Data request (DatGa)
10:20:28 [SUMMON PET] Data request (DatGa)
10:29:31 [SUMMON PET] Data request (DatGa)
10:29:50 [SUMMON PET] Data request (DatGa)
10:31:11 [SUMMON PET] Data request (asfasdfasf)
10:35:40 [SUMMON PET] Data request (BinhDuong)
10:37:07 [SUMMON PET] Data request (DatGa)
11:02:42 [SUMMON PET] Data request (BinhDuong)
11:10:26 [SUMMON PET] Data request (DatGa)
14:33:10 [SUMMON PET] Data request (BinhDuong)
14:44:37 [SUMMON PET] Data request (BinhDuong)
15:19:02 [SUMMON PET] Data request (DatGa)
15:30:13 [SUMMON PET] Data request (DatGa)
15:47:47 [SUMMON PET] Data request (DatGa)
15:49:24 [SUMMON PET] Data request (DatGa)
15:50:09 [SUMMON PET] Data request (test1)
16:07:00 [SUMMON PET] Data request (DatGa)
16:12:26 [SUMMON PET] Data request (DatGa)
16:25:50 [SUMMON PET] Data request (DatGa)
16:26:59 [SUMMON PET] Data request (DatGa)
16:31:01 [SUMMON PET] Data request (DatGa)
16:32:54 [SUMMON PET] Data request (DatGa)
16:35:41 [SUMMON PET] Data request (DatGa)
16:37:48 [SUMMON PET] Data request (DatGa)
16:51:46 [SUMMON PET] Data request (DatGa)
16:52:45 [SUMMON PET] Data request (DatGa)
16:58:33 [SUMMON PET] Data request (DatGa)
17:10:20 [SUMMON PET] Data request (DatGa)
17:11:03 [SUMMON PET] Data request (DatGa)
17:16:46 [SUMMON PET] Data request (DatGa)
