// TimeSettings
// OpenTime	PlayTime	CloseTime
0
1	10	9
end

// Radius Settings
// RandomSize	RadiusMin	RadiusMax
1
15	3	6
end

// Monster Settings
// MonsterID	MonsterRegen	MonsterAttack
2
135	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
136	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
end

// EventStart Time 
// Hour Minute (NOT_USED DUE TO EventManagement)
3
0	0
12	0
end

